#{"t_start": 1743946548.791229, "env_id": "None"}
r,l,t
-0.8,73,0.25303
-13.3,108,0.474295
-6.0,89,0.691208
3.8,45,0.750373
5.5,28,0.876608
-21.0,203,1.167205
-7.9,144,1.347334
3.9,44,1.421779
-22.4,217,1.800012
-24.2,190,2.081486
-15.4,165,2.271037
5.1,50,2.355158
3.7,28,2.45671
-14.2,108,2.720752
-13.3,135,2.927327
-5.2,99,3.096418
3.0,53,3.183054
3.0,44,3.23052
2.5,40,3.287354
-8.5,123,3.446892
8.0,21,3.467668
0.6,50,6.208894
5.0,24,6.238767
0.5,42,6.334955
-0.8,55,6.425632
2.6,39,6.474759
-5.1,71,6.550774
2.0,27,6.569685
0.4,79,6.625531
3.5,48,6.660599
5.5,37,6.687563
3.5,30,6.712933
-5.6,94,6.780902
-6.4,111,6.863458
-4.4,100,6.936456
0.1,64,6.981673
5.1,32,7.004406
9.0,11,7.012236
1.8,29,7.032459
-16.6,141,7.144008
-5.5,75,7.198435
5.6,18,7.211121
2.9,45,7.242459
5.0,42,7.272336
0.5,87,7.334046
5.6,27,7.353791
2.1,26,7.372313
1.6,40,7.401377
6.9,23,7.418056
1.6,67,7.466576
5.9,33,7.490727
3.2,42,7.522149
8.0,12,7.530732
-16.7,160,7.651455
-2.3,61,7.697295
-1.9,48,7.734106
-0.8,46,7.766317
7.1,12,7.775069
1.4,42,7.806065
3.1,61,7.849113
5.3,30,7.872467
7.5,26,9.044925
5.3,21,9.059937
6.3,20,9.073983
9.1,10,9.08101
8.6,15,9.091327
5.0,24,9.108059
5.5,28,9.127401
4.4,30,9.159718
3.8,36,9.18794
7.9,13,9.197165
6.3,29,9.217887
4.9,25,9.236697
5.2,31,9.258559
6.2,21,9.273575
2.9,45,9.304549
7.8,14,9.314543
5.1,23,9.330568
6.3,29,9.350728
8.8,13,9.359982
5.0,33,9.382766
6.1,31,9.404156
3.0,44,9.434775
6.0,23,9.450628
0.7,58,9.490462
4.6,46,9.522356
5.2,31,9.543792
6.1,31,9.5654
6.9,23,9.581556
5.0,24,9.598971
8.5,16,9.610814
-3.8,76,9.664777
5.0,42,9.696967
6.9,23,9.71731
8.1,20,9.731895
1.9,28,9.75148
5.4,29,9.77167
1.3,34,9.796137
7.9,13,9.805197
1.3,52,9.841259
7.5,17,9.852964
7.1,12,9.861364
6.3,29,9.882984
8.2,10,9.890103
3.6,29,9.910047
6.7,16,9.921324
8.6,15,9.931664
1.3,43,9.96163
6.3,29,9.981613
7.8,14,10.001208
5.3,30,10.022088
3.8,36,10.046779
7.8,23,10.062784
6.2,30,10.083596
7.2,20,10.097503
7.1,21,10.11214
3.3,32,10.134204
8.1,11,10.141912
1.2,44,10.177501
8.0,21,10.200034
8.6,15,10.21043
6.7,16,10.221534
4.9,34,10.244934
6.3,29,10.26542
2.7,29,10.285387
2.5,40,10.313107
6.2,21,10.327787
4.1,33,10.350379
6.3,20,10.364131
8.0,12,10.375753
5.7,26,10.394063
6.7,16,10.405083
3.4,49,10.440453
7.1,12,10.450173
5.8,25,10.467464
4.6,46,10.499342
8.8,13,10.508433
7.8,23,11.916857
8.3,18,11.932606
8.2,10,11.941405
5.1,14,11.954325
6.9,23,11.974511
8.2,19,11.991121
7.4,9,11.999029
4.1,33,12.02795
5.3,21,12.046247
5.6,27,12.07039
8.8,13,12.081908
8.8,13,12.093221
8.0,12,12.105343
6.6,17,12.122678
7.2,20,12.14497
7.5,8,12.15218
4.6,28,12.180775
6.3,11,12.194039
7.0,13,12.208118
6.4,10,12.221223
6.4,19,12.243244
8.5,16,12.272918
6.6,17,12.29547
6.4,19,12.314497
5.3,30,12.344311
7.5,8,12.352765
6.1,22,12.377684
6.8,24,12.40102
8.0,12,12.413832
8.0,12,12.426558
2.7,47,12.473569
5.9,24,12.49618
7.6,16,12.511159
6.0,32,12.5439
6.4,19,12.563764
8.6,15,12.582434
7.0,13,12.601692
7.7,15,12.615829
7.5,26,12.639965
6.9,23,12.66099
8.4,17,12.678988
6.6,17,12.697068
6.8,33,12.730578
7.3,10,12.739726
