#{"t_start": 1743752298.8840184, "env_id": "None"}
r,l,t
7.0,31,6.606481
1.6,58,6.670815
6.6,35,6.856771
0.5,96,7.069375
3.0,71,7.223144
3.8,54,7.346294
-18.6,269,7.939281
-8.4,185,8.357436
-8.2,183,8.783665
-7.5,167,9.156913
-4.8,149,9.493779
2.9,63,9.629512
-2.3,106,9.857882
4.1,60,10.033672
-55.1,625,11.86284
-4.5,137,12.256827
8.4,8,12.288324
2.8,46,12.411358
8.4,8,12.435043
8.4,8,12.460449
8.4,8,12.485882
-3.1,114,12.808379
1.7,66,12.997573
-0.7,108,13.305326
9.3,8,13.336629
9.2,9,13.368277
-67.5,758,15.140874
-14.4,236,15.701678
-17.4,257,16.25476
-4.7,139,16.577056
8.0,21,16.622315
6.4,28,16.682481
-11.7,200,17.108132
-41.8,501,18.20001
-56.4,656,19.654634
7.6,16,19.689048
-18.6,269,20.30021
-52.0,603,21.609772
-15.4,237,22.166105
3.3,50,22.268325
-16.7,241,22.83813
7.5,26,22.897442
5.8,34,22.971154
8.2,10,22.995279
-18.7,288,23.648278
8.2,10,23.665893
-5.8,159,24.150957
-4.8,140,24.541723
8.4,8,24.567069
8.4,8,24.589296
8.4,8,24.610301
-15.1,225,25.252772
5.4,38,25.374687
8.7,14,25.41005
-38.1,464,26.76212
-2.4,116,27.146285
-23.4,308,27.94736
8.3,9,27.970437
-19.9,291,28.609966
-15.7,231,29.120842
1.2,71,29.281971
8.2,10,29.300292
8.4,8,29.316966
7.3,10,29.340735
0.7,76,29.509816
8.4,8,29.526475
8.4,8,29.544409
8.4,8,29.561878
4.3,58,29.686271
1.3,88,29.882394
-7.3,174,30.274175
-5.9,151,30.604455
8.2,10,30.626032
8.4,8,30.643961
7.5,26,30.705602
5.5,37,30.813096
3.9,62,30.948916
6.2,39,31.033895
2.8,73,31.206535
0.9,83,31.392158
8.4,8,31.411056
7.3,10,31.43619
8.3,9,31.453604
5.2,49,31.559749
7.5,26,31.626932
7.7,24,31.681616
9.2,9,31.703665
8.0,12,31.729774
8.7,14,31.760706
9.3,8,31.779811
9.1,10,31.804986
9.3,8,31.823335
9.1,10,31.84497
9.3,8,31.862953
9.3,8,31.880613
9.3,8,31.898477
9.3,8,31.919297
9.3,8,31.936844
8.4,8,31.954411
8.4,8,31.974028
6.3,20,32.024064
8.0,12,32.05547
8.4,8,32.073929
8.4,8,32.093109
9.2,9,32.12456
9.3,8,32.153047
6.5,36,32.24041
8.0,12,32.268285
9.3,8,32.291702
8.3,9,32.310189
8.4,8,32.328763
4.3,40,32.43088
1.5,86,32.63579
8.4,8,32.656081
8.4,8,32.677232
8.4,8,32.704495
5.3,30,32.785102
7.6,16,32.822237
8.4,8,32.840017
8.4,8,32.86034
9.3,8,32.889624
9.3,8,32.909465
5.3,48,33.023296
9.1,10,33.044885
9.3,8,33.071607
9.3,8,33.092604
9.3,8,33.110434
9.3,8,33.130992
9.3,8,33.155164
3.2,60,33.322125
9.1,10,33.34774
6.3,38,33.439093
8.1,11,33.476604
5.9,33,33.547933
6.2,30,33.624858
7.3,10,33.645322
8.4,8,33.671584
8.4,8,33.699864
6.5,27,33.7844
8.3,9,33.805846
8.4,8,33.830649
8.0,12,33.863911
8.4,8,33.882769
5.9,33,33.971635
4.0,61,34.112357
9.3,8,34.130594
-0.1,102,34.365807
8.2,10,34.394949
8.4,8,34.415631
8.4,8,34.434662
8.2,10,34.455292
8.4,8,34.473215
8.4,8,34.494372
8.4,8,34.512143
8.4,8,34.53087
8.1,11,34.556006
8.4,8,34.57972
8.4,8,34.599766
8.3,9,34.61932
8.2,10,34.64613
2.7,74,34.824172
9.3,8,34.842654
8.4,8,34.860796
8.4,8,34.879733
8.4,8,34.899763
2.9,72,35.070412
8.4,8,35.088313
8.4,8,35.106458
8.4,8,35.127145
4.6,46,35.242195
8.2,19,35.293963
0.8,93,35.499087
5.4,47,35.612816
8.4,8,35.629847
8.4,8,35.647099
9.3,8,35.663611
2.2,70,35.821141
8.2,10,35.846292
9.2,9,35.863883
8.4,8,35.881452
8.2,10,35.902863
8.4,8,35.921615
8.4,8,35.939464
-0.3,86,36.137887
9.3,8,36.163161
6.7,34,36.250351
7.3,28,36.327956
9.2,9,36.353569
9.3,8,36.373432
8.4,8,36.393168
8.4,8,36.411144
8.4,8,36.430448
8.4,8,36.45438
9.3,8,36.474217
8.2,10,36.49398
7.4,18,36.539441
8.4,8,36.560897
8.4,8,36.57898
9.2,9,36.596699
6.0,41,36.694307
8.0,21,36.752171
-4.4,145,37.091385
8.4,8,37.110977
8.4,8,37.128112
8.4,8,37.151764
8.3,9,37.168828
8.4,8,37.1874
8.4,8,37.204362
9.3,8,37.225367
6.7,34,37.301668
9.3,8,37.326305
9.3,8,37.343901
9.3,8,37.364469
8.4,8,37.383187
9.3,8,37.403411
9.3,8,37.42187
9.3,8,37.45211
9.3,8,37.47172
-3.1,132,37.883889
8.4,8,37.908389
8.2,10,37.948246
8.1,20,38.022936
6.7,25,38.100786
7.5,26,38.194478
9.3,8,38.224615
8.4,8,38.249631
9.3,8,38.278861
7.3,28,38.364095
5.5,46,38.497867
5.1,50,38.646652
7.0,31,38.726642
4.1,60,38.904217
9.1,10,38.94219
7.2,29,39.027844
7.2,29,39.10911
9.3,8,39.1308
9.3,8,39.160791
9.3,8,39.185355
9.2,9,39.220286
2.1,80,39.458479
9.3,8,39.489155
9.3,8,39.512252
8.4,8,39.535029
7.8,23,39.593298
7.7,15,39.642874
8.7,14,39.6892
7.4,27,39.761121
1.5,86,40.024659
3.9,62,40.201861
8.4,8,40.224913
7.5,8,40.247364
6.0,32,40.33617
8.8,13,40.383821
9.3,8,40.404869
9.1,10,40.429868
9.0,11,40.467953
7.2,11,40.508474
8.4,8,40.538635
0.9,92,40.835171
5.9,42,40.975013
9.2,9,41.003466
8.2,10,41.039132
5.7,44,41.175159
9.1,10,41.201072
8.4,8,41.227381
9.1,10,41.262186
9.3,8,41.288511
6.3,38,41.409406
8.0,12,41.447061
1.4,78,41.915006
9.3,8,41.961661
9.3,8,41.98003
9.3,8,42.005451
9.3,8,42.024589
4.5,56,42.151545
6.9,32,42.231281
9.3,8,42.25366
9.1,10,42.273114
7.3,28,42.340098
6.4,37,42.431567
8.9,12,42.463594
8.8,13,42.493216
5.9,42,42.599435
8.4,8,42.63747
8.4,8,42.662216
7.3,10,42.69464
8.2,10,42.720377
8.4,8,42.744018
7.1,12,42.778421
9.3,8,42.798824
9.3,8,42.817161
8.9,12,42.847729
9.3,8,42.871014
7.3,10,42.897818
8.4,8,42.920723
8.2,10,42.944036
8.4,8,42.9701
5.8,43,43.082469
8.7,14,43.116457
9.3,8,43.139774
9.3,8,43.161037
3.2,69,43.313107
7.1,12,43.337653
8.2,19,43.378995
8.4,8,43.400427
8.4,8,43.41772
9.1,10,43.439032
8.4,8,43.45646
8.4,8,43.479001
8.4,8,43.495955
8.2,10,43.521027
9.1,10,43.540194
9.2,9,43.560843
9.3,8,43.578389
9.2,9,43.603193
8.2,19,43.646064
9.3,8,43.674283
9.3,8,43.695894
9.3,8,43.716203
9.2,9,43.746062
5.8,43,43.843525
7.2,29,43.913286
9.3,8,43.931047
6.2,39,44.015507
8.4,8,44.037853
8.4,8,44.054835
6.5,36,44.13056
9.3,8,44.147961
8.4,8,44.167067
8.4,8,44.184271
8.4,8,44.202047
0.3,98,44.413083
8.4,8,44.434379
5.2,49,44.53723
6.4,37,44.61788
8.4,8,44.635691
7.3,10,44.662761
8.4,8,44.685444
9.3,8,44.709948
5.6,36,44.790198
8.4,8,44.811028
